recomendacao_conteudo,qtde_ocorr,perc_ocorr
"Promover a divulgação deste Acidente Aeronáutico junto a operadores e pilotos, tendo por objetivo destacar a importância do cotejamento da indicação dos liquidômetros com o combustível existente nos tanques e, no caso de falha de motor por falta de combustível nas aeronaves EMB 720D e similares, a necessidade de aguardar pelo menos 10 segundos após a troca de tanques pela seletora de combustível para o enchimento das linhas de combustível.",1,0.08
"O Diretor de Segurança Operacional da ICARAÍ TURISMO TÁXI AÉREO LTDA. deverá realizar, de imediato, um controle das Divulgações Operacionais (DIVOP) emitidas pelo SIPAER referentes às aeronaves de sua dotação, através de coletânea e relação de ciência dos tripulantes, devidamente assinada.",1,0.08
"Inspecionar a CFA Escola de Aviação Civil, a fim de verificar se a instrução de Peso e Balanceamento ministrada no Curso de Piloto Privado está em conformidade com os requisitos aplicáveis.",1,0.08
"Inspecionar as aeronaves da Associação Brasileira de Acrobacia Aérea empregadas em atendimento à Subparte D do RBHA 91, Seção 91.303 ""Voos Acrobáticos"", quanto à aeronavegabilidade continuada destas.",1,0.08
"Ministrar periodicamente instrução a todos os pilotos da empresa sobre rolagem estática e rolagem dinâmica de aeronaves de asas rotativas, incluindo a Safety Note SN -9 do Pilot Operating Handbook, a fim de aumentar o nível de consciência situacional em missões que exigem o treinamento de voo pairado.",1,0.08
"Interceder, junto à Prefeitura de Envira, AM, para que esta proceda à homologação ou, pelo menos, o registro da pista de Envira, AM, junto à autoridade de aviação civil ou, se não for de interesse, proceder à interdição definitiva da pista.",1,0.08
"Interceder junto ao operador, a fim de que seja alocado um profissional, no setor de operações, com conhecimento técnico de cada tipo de aeronave operada, estabelecendo assim, mais um elo no gerenciamento de risco na operação das aeronaves.",1,0.08
"Interagir com o Fabricante da Aeronave para que sejam implementados mecanismos de inspeção e controle, ou modificação, de forma que venha a ficar assegurado que nas aeronaves ERJ 190, em operação, não haja interferência e nem atrito entre as cablagens e o sidewall de forma a impedir que ocorra a deterioração do isolamento dos cabos condutores que constituem as cablagens.",1,0.08
"Explicitar em norma pertinente os parâmetros para o dispositivo de alijamento de carga em emergência, especificando quais devem ser os requisitos aplicáveis para alijamento de produto agrícola sólido.",1,0.08
"Intensificar as ações previstas no âmbito do Plano de Supervisão da Segurança Operacional (PSSO) 2020-2022, levando em consideração os ensinamentos colhidos nesta investigação e nas demais citadas neste relatório, buscando reduzir o número de ocorrências categorizadas como alto risco operacional.",1,0.08
"Intensificar as ações de fiscalização em aeronaves de operadores da Aviação Geral, com vistas a coibir, dentre outros desvios, a incidência de voos com quantidade de combustível abaixo do previsto, assim como a operação de aeronaves com inspeções e documentações vencidas.",1,0.08
"Intensificar a fiscalização no Aeroclube de Bragança Paulista com ênfase na qualidade da instrução ministrada, tendo em vista a recorrência atípica de ocorrências aeronáuticas envolvendo aeronaves desse operador.",1,0.08
"Intensificar a fiscalização nas atividades que ocorrem em SBJC, de modo a disciplinar a forma de contratação de pilotos freelancer junto aos proprietários, operadores e exploradores de aeronaves que operam a partir daquele aeródromo, com enfoque para um adequado processo de seleção e valorização da segurança de voo.",1,0.08
"Intensificar a fiscalização em eventos programados, tais como: festas populares, festivais, shows, rodeios e afins, com vistas a coibir voos e apresentações que coloquem em risco a vida de terceiros, notadamente quando os voos citados não estiverem devidamente regularizados.",1,0.08
"Intensificar a fiscalização das operações da aviação geral, principalmente nos aspectos ligados ao controle dos pilotos e supervisão das operações, a fim de verificar a conformidade quanto aos requisitos de segurança operacional estabelecidos na legislação aplicável.",1,0.08
"Intensificar a fiscalização das operações da aviação de táxi aéreo, na região da cidade de Belém, PA, principalmente nos aspectos ligados à operação de aeronave em locais não registrados ou não homologados.",1,0.08
"Intensificar a fiscalização com objetivo de criar mecanismos visando inibir a realização de encontro de pilotos de aeronaves, sem a supervisão adequada, a fim de evitar a realização de manobras acrobáticas e outros tipos de voo que além de servirem de mau exemplo para os outros pilotos, colocam em risco a operação aérea e a vida de terceiros.",1,0.08
Intensifcar a fiscalização sobre os operadores regulados pelo RBAC 137.,1,0.08
"Notificar o operador da aeronave quanto à necessidade de uma nova pesagem do PT-DZA com a finalidade de verificar a fidelidade dos dados apresentados na ficha de peso e balanceamento, apurando a suspeita de discrepância no peso da bequilha apontado no presente relatório.",1,0.08
"Promover a divulgação deste Acidente Aeronáutico junto a operadores e pilotos, tendo por objetivo disseminar os ensinamentos adquiridos através do mesmo, com destaque para o incremento de risco que decorre do uso em aeronaves de combustível não apropriado.",1,0.08
"Incrementar os mecanismos de fiscalização das empresas de táxi aéreo da região norte, visando coibir a utilização de tripulantes sem o treinamento requerido no tipo de aeronave.",1,0.08
"Promover a divulgação deste Acidente Aeronáutico junto a operadores e pilotos, tendo por objetivo disseminar os ensinamentos adquiridos através do mesmo, com destaque para o risco decorrente de aproximações não estabilizadas.",1,0.08
"Incluir, na pauta de assuntos a serem abordados nos eventos de Segurança Operacional, a importância de um adequado planejamento da missão e do acompanhamento, por parte do operador, das ações a serem executadas por seus tripulantes nos pousos de precaução em pista não homologadas.",1,0.08
"Incrementar a verificação de proficiência dos pilotos da aviação geral no tocante ao planejamento dos voos, visando assegurar-se da sua capacidade de prover uma autonomia adequada ao voo a ser realizado.",1,0.08
"Incrementar a fiscalização nas oficinas homologadas para a manutenção de Air Tractor, modelo AT-502B, a fim de coibir a instalação de dispositivos não homologados no projeto.",1,0.08
"Incrementar a fiscalização nas escolas de formação de piloto agrícola, avaliando o fiel cumprimento do Manual do Curso Piloto Agrícola - Avião (MCA 58-17), tendo em vista que nesta investigação verificou-se que as fichas de voo não estavam adequadamente preenchidas.",1,0.08
"Incrementar a fiscalização na adequação dos recursos humanos e materiais, utilizados pelas empresas revendedoras, necessários à realização das tarefas de suporte aos caminhões de abastecimento no pátio de aeronaves, a fim de evitar interrupções de tarefas.",1,0.08
"Incrementar a fiscalização e o acompanhamento dos aeroclubes e escolas de aviação, visando detectar e corrigir, antes da ocorrência de um acidente, as falhas latentes verificadas, quais sejam: a ausência de pessoal habilitado e de atividades voltadas à segurança de voo, a utilização de checklist incompleto e as falhas na execução e supervisão dos serviços de manutenção.",1,0.08
"Incrementar a fiscalização e acompanhamento das oficinas de manutenção, visando evitar a realização de serviços em desacordo com o previsto pelo fabricante.",1,0.08
"Incrementar a fiscalização dos operadores policiais, a fim de inibir o voo de tripulantes com habilitação vencida.",1,0.08
"Incrementar a fiscalização dos aeroclubes e escolas de aviação, visando detectar e corrigir irregularidades no processo de manutenção das aeronaves antes que venham a contribuir para a ocorrência de acidentes aeronáuticos.",1,0.08
"Incrementar a fiscalização dos aeroclubes e escolas de aviação, visando detectar e corrigir irregularidades no processo de instrução aérea antes que venham a contribuir para a ocorrência de acidentes aeronáuticos.",1,0.08
"Incrementar a fiscalização das oficinas de manutenção, visando evitar a realização de serviços sem as ferramentas previstas pelos fabricantes.",1,0.08
"Incrementar a fiscalização das oficinas de manutenção, visando evitar a realização de serviços que não estejam em conformidade com os previstos pelo fabricante.",1,0.08
"Incrementar a fiscalização das oficinas de manutenção, visando evitar a realização de serviços em desacordo com o previsto pelo fabricante.",1,0.08
"Incrementar a fiscalização das empresas de táxi-aéreo, em especial no tocante ao acompanhamento do Programa de Manutenção, visando verificar se as inspeções e procedimentos estão em conformidade com o previsto pelo fabricante.",1,0.08
"Incrementar a fiscalização da aviação privada, visando inibir a operação de aeronaves em condições de aeronavegabilidade inadequada por pilotos com habilitação vencida.",1,0.08
"Incluir os operadores vinculados às Casas Militares dos Governos Estaduais na Seção 1.3 da Resolução nº 106 da ANAC, de 30 de junho de 2009, que dispõe sobre o Sistema de Gerenciamento de Segurança Operacional para os Pequenos Provedores de Serviço da Aviação Civil SGSO P-PSAC, com o propósito de tornar obrigatória a implementação de um SGSO por aqueles P-PSAC.",1,0.08
"Incrementar o acompanhamento das atividades aéreas dos aeroclubes, principalmente nos aspectos relativos à supervisão da instrução de voo, tais como cursos de padronização de instrutores, acompanhamento do desempenho de alunos e avaliação de instrutores de voo.",1,0.08
"Incluir no AFM do L410UVP-E20 Flight Manual, Section 7, Systems of Airplane, o alerta previsto no Operation Manual Turboprop Engine  Models Walter M601E  Walter M601E-21, Manual Part n° 0982404 page 2-6, informando tais atualizações aos tripulantes.",1,0.08
"Implementar um programa de treinamento nas unidades aéreas de segurança pública, contemplando a formação inicial e o treinamento regular, de forma a manter a proficiência dos tripulantes.",1,0.08
Incrementar os mecanismos de fiscalização em eventos de grande monta de modo a coibir operações de aeronaves a margem dos regulamentos aeronáuticos em vigor e que colocam em risco a vida de terceiros.,1,0.08
"Implementar um processo de certificação para os Grupamentos Aeropoliciais e de Defesa Civil, estabelecendo requisitos mínimos na área de operações, de manutenção de aeronaves, de treinamento e de jornada de trabalho, através da criação de regulamentação específica para Operações Aéreas de Segurança Pública e/ou Defesa Civil.",1,0.08
"Implementar procedimentos para testes periódicos do Plano de Emergência Aeronáutica em Aeródromo (PEAA) do Aeródromo de Anápolis, conforme prevê a NSCA 3-4, de forma que se possa fazer uma análise adequada dos seus resultados e melhorada a sua eficácia, caso seja necessário.",1,0.08
"Implementar medidas de fiscalização de forma a assegurar que as oficinas executantes de revisão geral em células e grandes componentes dos helicópteros modelos R-22 e R-44, estejam empregando adequadamente os produtos especificados pelos fabricantes, com destaque para a remoção de tinta e da aplicação de primers utilizados em junções, notadamente entre os PN A166-1 e PN A907-4.",1,0.08
"Implementar mecanismo de gerenciamento do risco, a fim de tornar eficiente a supervisão das operações aéreas.",1,0.08
"Implementar estudo de caso centrado na presente investigação, no âmbito do DTCEA-FZ, visando a mitigar os erros, notadamente aos relacionados à AIC-N 16/20, de modo a permitir a melhor assimilação dos ensinamentos colhidos e a contribuir para a elevação dos padrões operacionais do Controle de Tráfego Aéreo disponibilizado na TMA-FZ.",1,0.08
"Implementar as medidas julgadas adequadas no sentido de assegurar que os requisitos estabelecidos para as inspeções das bombas manuais de emergência PN 481771, instaladas nas aeronaves EMB 820C Navajo, versão NE 821, estão sendo suficientes para a manutenção de níveis adequados de segurança e manutenção da aeronavegabilidade continuada desses componentes.",1,0.08
"Implantar o Sistema de Gerenciamento da Segurança Operacional (SGSO) voltado para a área de manutenção, com o intuito de aprimorar o processo de acompanhamento das atividades de inspetoria e de manutenção das aeronaves.",1,0.08
"Implantar medidas que assegurem que a oficina mantenedora da aeronave adote os adequados mecanismos de Supervisão Gerencial, no âmbito técnico, visando ao fiel cumprimento dos procedimentos estabelecidos no Manual de Serviços das aeronaves modelo Cessna 310, para efeito da regulagem do seu sistema de retração do trem de pouso principal.",1,0.08
"Implantar mecanismos de gerenciamento do risco de suas atividades aéreas, dando especial atenção à operação no Aeródromo de Encanta Moça - PE.",1,0.08
"Identificar o Morro de Santo Antônio na carta do procedimento VOR para a pista 32 de SBGO de modo a elevar o nível de percepção dos pilotos quanto aos riscos de colisão com esse obstáculo, conforme prevê a CIRTRAF 100-30.",1,0.08
"INCLUIR DISPOSITIVO NO RBHA 91 ESTABELECENDO A OBRIGATORIEDADE DA REALIZAçãO DE BRIEFING DIRIGIDO AOS PASSAGEIROS, PELOS PILOTOS, ABORDANDO ASPECTOS DE SEGURANçA RELATIVOS àS OPERAçõES DE EMBARQUE E DESEMBARQUE DAS AERONAVES DE ASAS ROTATIVAS.",1,0.08
"Fiscalizar, nas oficinas homologadas para overhaul do motor Lycoming, modelos IO-540# o uso de publicações atualizadas, pessoal habilitado para o serviço e o cumprimento do plano de manutenção preconizado pelo fabricante.",1,0.08
"Fazer constar, tacitamente, nas AIC, que não haja circulação de aeronaves de asa fixa em áreas específicas de helicópteros, com exceção de casos previstos na própria AIC.",1,0.08
"FISCALIZAR AERONAVES QUE TENHAM REALIZADO SERVIçOS DE MANUTENçãO NA TIARTE COMéRCIO E MANUTENçãO DE AERONAVES, A FIM DE VERIFICAR A CONFORMIDADE DOS SERVIçOS REALIZADOS.",1,0.08
Incluir nas ações programadas do PPAA/MGSO orientações relativas aos cuidados com a operação de aeronaves de trem de pouso convencional.,1,0.08
"Realizar visita técnica no Aeroclube de Taubaté com intuito de analisar e propor melhorias no processo de manutenção das aeronaves, instrução, supervisão e operação tendo em vista os fatos relatados no corpo deste relatório.",1,0.08
"Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil brasileira sobre a importância de se conhecer e respeitar os limites operacionais estabelecidos pelos fabricantes das aeronaves.",1,0.08
"Expedir um alerta aos aeroclubes, escolas e centros de treinamento sobre o cumprimento no disposto na seção 91.423  Pesagem e Balanceamento de Aeronaves, do RBHA 91, de forma a garantir a confiabilidade das respectivas fichas.",1,0.08
Estudar a conveniência de emitir uma orientação específica quanto ao alcance da aplicabilidade dos dispositivos que fazem referência a Fatores Humanos no contexto da certificação de projetos e da aeronavegabilidade continuada contemplados no Anexo 8 da Convenção sobre Aviação Civil Internacional.,1,0.08
"Estudar, no prazo de um mês, a viabilidade de alterar a legislação em vigor e incluir a obrigatoriedade de ser instalado e manter-se em condições operacionais um sistema de gravação das comunicações nas rádios de aeródromos que operam noturno.",1,0.08
"Estudar a viabilidade de explicitar no RBAC 137 a necessidade de realizar registro formal e escrito dos treinamentos realizados, englobando o assunto, objetivos e conteúdo ministrado, visando assegurar que sejam cumpridas as melhores práticas à luz do SGSO.",1,0.08
"Estudar a viabilidade de divulgar, através das salas AIS civil e militar, estatísticas de ocorrência de Windshear por localidade, bem como instruções relativas à interpretação de fenômenos meteorológicos e seus efeitos na aviação.",1,0.08
"Estudar a viabilidade de criar uma legislação específica ou modificar a existente a fim de garantir o treinamento periódico para tripulantes de operadores da Administração Pública Direta, tais como Governos Estaduais e Municipais.",1,0.08
"Estudar a possibilidade de a Rádio Santos sistematizar uma rotina de questionamento às aeronaves que decolam de helipontos e aeródromos na Baixada Santista, para que forneçam as condições meteorológicas enfrentadas, de forma que aquele órgão ATS repasse tais informações aos tráfegos seguintes.",1,0.08
"Estudar a necessidade de estabelecer no RBAC n° 61 uma quantidade mínima de horas de voo que o piloto deve ter no modelo de aeronave rebocadora para iniciar o curso de piloto rebocador de planador, de maneira que ele seja capaz de identificar e corrigir situações anormais ou de emergência com mais efetividade.",1,0.08
"Estudar a necessidade de adequação da regulamentação às especificidades da operação agrícola realizada por helicópteros, inclusive no tocante aos requisitos para a obtenção e revalidação das habilitações de piloto agrícola -helicóptero (PAGH).",1,0.08
Estabelecer requisitos mínimos de certificação para aeronaves leves fabricadas e comercializadas por indústria aeronáutica que garantam condições seguras de aeronavegabilidade.,1,0.08
"Divulgar os ensinamentos colhidos na presente investigação, com a finalidade de alertar os operadores de aeronaves do segmento da aviação geral equipadas com motores convencionais quanto à necessidade de basear os adiamentos de revisões gerais desses propulsores em programas consistentes e bem documentados de monitoramento do desempenho e avaliação operacional, considerando as instruções dos respectivos fabricantes e da regulação aplicável.",1,0.08
"Estabelecer requisito que exija do piloto a demonstração proficiência teórica nas publicações operacionais, nos limites e na performance em aeronaves turboélice, quando se tratar de equipamento destinado à operação aeroagrícola.",1,0.08
"Estabelecer que todo examinador credenciado tenha curso de prevenção ou de gerenciamento de risco, criando uma cultura de segurança operacional nesse profissional de elevada responsabilidade no âmbito da aviação civil.",1,0.08
"Estabelecer procedimentos que garantam a atualização de publicações referentes a temas recorrentes em acidentes ou incidentes aeronáuticos, em especial o fenômeno de windshear, notadamente no que se refere à necessidade de um planejamento de voo que contemple as condições meteorológicas que possam afetar as operações aéreas.",1,0.08
"Estabelecer procedimentos que assegurem que o INSPAC a ser escalado como checador, esteja plenamente qualificado para o voo de avaliação, no que se refere aos requisitos de habilitação e treinamento recente.",1,0.08
"Estabelecer padrões de qualificação que assegurem a experiência necessária, o conhecimento teórico e o treinamento prático mínimos dos pilotos para que estes sejam considerados aptos a realizarem acrobacia aérea sem exposição de si e/ou de terceiros a riscos intoleráveis.",1,0.08
"Estabelecer e manter um sistema continuado de análise e supervisão da execução e da eficiência de seu programa de inspeções e de seus programas de manutenção, manutenção preventiva, modificações e reparos, objetivando corrigir eventuais deficiências desses programas, mesmo que eles sejam realizados por terceiros, conforme estabelecido em RBAC 135.431 (a).",1,0.08
"Envidar esforços na formação de um profissional com curso na área do SIPAER, a fim de elevar o nível de segurança operacional da empresa, e permitir o acompanhamento e a execução das normas estabelecidas por esse Sistema, a exemplo: a comunicação imediata de ocorrências aeronáuticas.",1,0.08
"Estabelecer a necessidade de ações corretivas imediatas e, caso aplicável, emitir uma Diretriz de Aeronavegabilidade, considerando o Technical Bulletin nº. 222-03-171, de 06 NOV 2003, da Bell Helicopter Textron, que recomenda a inversão da posição de acionamento do switch de comando da fuel valve.",1,0.08
"Enfatizar, nas atividades educativas e nas vistorias em aeroclubes e centros de treinamento de aviação civil, a importância do adequado preparo teórico e prático dos instrutores e alunos, no que se refere ao controle e às reações das aeronaves convencionais, sobretudo quanto ao risco de toque da hélice no solo.",1,0.08
"Divulgar, junto aos operadores dos modelos 95-B55, os ensinamentos colhidos na presente investigação, alertando-os sobre a necessidade de se certificarem do livre movimento dos uplock rollers dos trens de pouso principais das aeronaves, durante a realização da inspeção antes do voo.",1,0.08
Enfatizar junto aos proprietários e operadores de aeronaves a sua responsabilidade no que tange à supervisão da condição de aeronavegabilidade de seus equipamentos.,1,0.08
"Enfatizar aos seus pilotos instrutores e alunos sobre a importância do planejamento adequado dos voos. Ressaltar todas as variáveis e informações disponíveis sobre os aeródromos (saída, destino e alternativas) e da rota. Divulgar a importância de sempre ser conservativo no que se refere à quantidade de combustível.",1,0.08
Enfatizar aos seus inspetores de aeronavegabilidade a importância de verificar o cumprimento dos procedimentos específicos de manutenção relacionados à operação em ambiente corrosivo.,1,0.08
"Enfatizar a necessidade de ser reportada pelos controladores de tráfego aéreo a possibilidade de existência de esteira de turbulência durante pousos e decolagens de aeronaves, no intuito de alertar as tripulações quanto aos espaçamentos de tempo previstos na ICA 100-37  Serviços de Tráfego Aéreo.",1,0.08
"Emitir DIVOP com os ensinamentos colhidos neste acidente, a todos os operadores de aeronaves S10-VT e ao aeroclube de Santa Catarina.",1,0.08
"Em função das peculiares condições de emprego, onde as aeronaves podem passar longos períodos sem operar em aeródromos controlados, analisar a possibilidade de implementação de processos para a efetiva fiscalização da atividade aérea aplicada à pulverização agrícola, a fim de coibir a operação irregular, tanto no que tange à habilitação dos pilotos e às condições das aeronaves, como quanto ao emprego de combustível não homologado.",1,0.08
"Efetuar gestões junto à empresa Uirapuru Táxi Aéreo Ltda., de forma que fique assegurada a rastreabilidade dos componentes e produtos empregados na execução das manutenções realizadas.",1,0.08
"Efetuar gestões junto ao operador visando assegurar-se da adequada análise do risco de suas  operações,em especial  no  tocante  à  avaliação  das  condições  das  áreas  de  pouso não pavimentadas.",1,0.08
"Efetuar gestões de forma que seja verificada a conformidade dos procedimentos efetuados pela oficina HAR 3 Ltda., responsável pelos últimos serviços de manutenção na aeronave.",1,0.08
"ESTUDAR A VIABILIDADE TéCNICA DE EXPANDIR NíVEIS DE VOO DE ROTAS AéREAS VISUAIS, ESPECIALMENTE, SOBRE CIDADES, A FIM DE PERMITIR A TRIPULANTES EVITAR O ESPAçO AéREO DE ALTA PROBABILIDADE DE COLISõES COM AVES, IDENTIFICADO NO BRASIL ENTRE O SOLO E 3.500FT DE ALTURA.",1,0.08
"ESTUDAR A REVISãO DOS MANUAIS DOS CURSOS DE PILOTO, A FIM DE GARANTIR, àS INSTITUIçõES DE FORMAçãO DE PILOTOS, A PADRONIZAçãO DOS PROCEDIMENTOS DE AVALIAçãO E ENSINO, SOBRETUDO NA DEFINIçãO CLARA DOS NíVEIS DE APRENDIZAGEM A SEREM ATINGIDOS EM CADA ETAPA.",1,0.08
"EM COOPERAÇÃO COM O DECEA, INFRAERO E UTILIZADORES DO AEROPORTO INTERNACIONAL DE BELÉM:    REALIZAR UMA ANÁLISE ABRANGENTE DOS PROCEDIMENTOS OPERACIONAIS E TOMAR TODAS AS MEDIDAS NECESSÁRIAS PARA ENCONTRAR MEDIDAS ADEQUADAS PARA REDUZIR A COMPLEXIDADE E OS RISCOS SISTÊMICOS.",1,0.08
"Divulgar, oficialmente, o conteúdo do presente relatório para a IBERIA Linhas Aéreas.",1,0.08
"Divulgar, no prazo de três meses, e com finalidade preventiva, em DIVOP, a todos os operadores de interesse situados em sua área de jurisdição, os ensinamentos colhidos e as recomendações emitidas na presente investigação.",1,0.08
"Divulgar, na área de sua jurisdição, através de seminários, palestras e vistorias, o conteúdo do presente Relatório e seus ensinamentos aos tripulantes, pessoal de apoio e diretores das Empresas de Táxi Aéreo.",1,0.08
"Divulgar, junto aos seus associados, os ensinamentos colhidos da presente investigação, destacando os aspectos relacionados ao comprometimento da Segurança de Voo em face do descumprimento das normas e regulamentos do Sistema de Aviação Civil.",1,0.08
"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",1,0.08
"Divulgar, em sua área de atuação, a Service Letter L180B, de 13 de novembro de 2001, da Lycoming, para todos os operadores de aeronaves que utilizam motores Lycoming e para todas as oficinas que realizam manutenção no referido tipo de motor.",1,0.08
"Divulgar, aos CIAC, os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores sobre a importância da:- a) criteriosa avaliação as condições meteorológicas da rota, que deverão estar compatíveis com o tipo de voo a ser realizado por suas aeronaves e pilotos, além dos riscos inerentes ao voo em condições meteorológicas adversas;- b) necessidade da fiel observância dos limites operacionais das suas aeronaves, particularmente da velocidade de manobra; e- c) indispensável observância das regras de Voo Visual, estabelecidas pela ICA 100-12/2016 - Regras do Ar.",1,0.08
Divulgar os ensinamentos do presente relatório aos operadores de aeronaves do modelo PA-42-1000.,1,0.08
"Divulgar às empresas de táxi-aéreo os ensinamentos colhidos nesta ocorrência, enfatizando a importância do cumprimento dos procedimentos estabelecidos em seus manuais, bem como o fiel cumprimento de todos os passos contidos no cheklist durante todas as fases de operação da aeronave.",1,0.08
"Divulgar à comunidade aeronáutica brasileira a importância do cumprimento dos procedimentos de voo estabelecidos pelos fabricantes, operadores e instituições de instrução, bem como dos aspectos relacionados à divisão de funções a bordo.",1,0.08
"Divulgar à Helisul Táxi Aéreo Ltda. os ensinamentos colhidos nesta investigação, a fim de que aquele operador, em coordenação com a empresa Furnas Centrais Elétricas, busque atualizar o Manual Técnico de Campo para Inspeção Aérea de Linhas de Transmissão Utilizando Helicópteros, sobretudo no que diz respeito à utilização de tecnologias que possam contribuir para a segurança operacional, e também realize atividades internas de promoção de segurança operacional, utilizando a publicação Técnicas para Operações de Helicóptero em Terrenos Íngremes e Montanhosos, do EHST.",1,0.08
"Divulgar à FUNAI os ensinamentos colhidos nesta investigação, a fim de que aquela Fundação se conscientize sobre a necessidade da adoção de medidas mitigadoras nas pistas sobre a sua responsabilidade.",1,0.08
"Divulgar um alerta aos operadores civis e militares de aeronaves equipadas com motores PT6A quanto a importância da verificação da temperatura no Oil-to-Fuel Heater ou no cover do filtro da bomba mecânica de combustível, nos moldes do manual de manutenção do fabricante do motor, a fim identificar, oportunamente, possíveis falhas com o elemento térmico do Fuel Heater.",1,0.08
"Divulgar os ensinamentos resultantes deste acidente aeronáutico, de forma a enfatizar aos Inspetores de Aviação Civil e examinadores credenciados a importância de cumprir os procedimentos estabelecidos nos manuais de voo das aeronaves.",1,0.08
"Divulgar os ensinamentos e recomendações de segurança de voo colhidas aos operadores regulados pelo RBAC 135 e 145, alertando-os quanto aos fatores contribuintes deste acidente.",1,0.08
"Divulgar os ensinamentos e as recomendações de segurança de voo contidos na presente investigação aos pilotos de aeronave AS-350 e à comunidade aeronáutica, enfatizando os aspectos relacionados às diferenças operacionais entre os modelos B3 e B3+ e salientando a importância da padronização na atividade aérea.",1,0.08
Divulgar os ensinamentos do presente relatório final aos seus pilotos.,1,0.08
"Divulgar os ensinamentos do presente relatório aos seus associados, enfatizando os riscos decorrentes da operação de aeronaves com combustível não homologado pelo fabricante e a importância do cumprimento dos perfis de tráfego para pouso previstos.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores de táxi aéreo, enfatizando a importância da padronização dos voos de instrução, bem como do conhecimento dos procedimentos de emergência da aeronave.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores de táxi aéreo, enfatizando a importância da adequada avaliação das condições meteorológicas para a segurança dos voos.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores de táxi aéreo, em especial aos que realizam vôos de transporte de malotes bancários.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores de helicóptero, enfatizando a importância do conhecimento das características propícias à perda de efetividade do rotor de cauda (Loss of Tail Rotor Effectiveness - LTE) para a prevenção de tais ocorrências.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores da aviação geral, enfatizando a importância da adequação das pistas de pouso aos requisitos aplicáveis.",1,0.08
"Divulgar às oficinas de manutenção, autorizadas a realizar Revisão Geral de motores, os ensinamentos colhidos neste acidente.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores da aviação geral, enfatizando a importância da adequada análise das condições meteorológicas para o desenvolvimento de um voo seguro.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores da aviação agrícola, com destaque para o alto risco decorrente do transporte de passageiros e/ou carga em áreas não apropriadas da aeronave.",1,0.08
"Divulgar, como ação de Promoção de Segurança Operacional, os ensinamentos colhidosnesta investigação às Organizações de Manutenção certificadas para realizar este tipo de serviço, a fim de que as orientações contidas nas Instruções Suplementares sejam claramente compreendidas.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores da Aviação Geral, enfatizando a importância de uma avaliação adequada das condições operacionais dos aeródromos a serem utilizados.",1,0.08
"Divulgar os ensinamentos do presente relatório aos operadores da Aviação Agrícola, enfatizando a importância do acompanhamento das atividades por parte da empresa, bem como do estabelecimento de canais eficazes de comunicação interna.",1,0.08
"Divulgar os ensinamentos do presente acidente aos aeroclubes e escolas de aviação, enfatizando a importância do conhecimento e aplicação das técnicas corretas de pouso com vento de través.",1,0.08
"Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.",1,0.08
"Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação, enfatizando a necessidade de atentar para as técnicas previstas para a decolagem de máxima performance.",1,0.08
Divulgar os ensinamentos deste Relatório aos Aeroclubes e Escolas de Aviação.,1,0.08
"Divulgar os ensinamentos deste Relatório Final aos operadores da Aviação Geral, enfatizando os riscos e as precauções a serem adotadas para a realização de voos visuais noturnos.",1,0.08
Divulgar os ensinamentos desta investigação aos operadores brasileiros de C90A e demais operadores regulados pelo RBHA 91 e RBAC 135.,1,0.08
"Divulgar os ensinamentos desta investigação ao Centro de Instrução de Aviação Civil (CIAC) do Aeroclube de Votuporanga, a fim de que seja enfatizado aos instrutores que atuam naquela escola a importância do fiel cumprimento dos procedimentos operacionais estabelecidos, sobretudo no que diz respeito à leitura e execução da lista de verificações (checklist).",1,0.08
Divulgar os ensinamentos decorrentes desse acidente como forma de coibir a realização de manobras não condizentes com o modelo de aeronave e com a altura de voo.,1,0.08
Divulgar os ensinamentos decorrentes desse acidente como forma de alertar os operadores da aviação geral quanto à necessidade do cumprimento das regulamentações citadas neste Relatório.,1,0.08
"Divulgar os ensinamentos da presente investigação, a fim de alertar pilotos e operadores da aviação agrícola brasileira, sobre os riscos relativos à atenção requerida para o correto gerenciamento do combustível.",1,0.08
"Divulgar os ensinamentos contidos no presente relatório, a fim de elevar a consciência situacional de operadores e de proprietários, notadamente no que se refere a serviços de manutenção inadequados ou em desacordo com os manuais de manutenção.",1,0.08
Divulgar os ensinamentos contidos neste relatório aos operadores da Aviação Geral.,1,0.08
